"SubscriptionName","ResourceGroup","Name","Type","PrefixEsperado","Problema"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-w11-7-nic","microsoft.network/networkinterfaces","nic","Nome não segue padrão v2.0: esperado 'nic-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-cpanel-v4929_z1","microsoft.network/networkinterfaces","nic","Nome não segue padrão v2.0: esperado 'nic-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","vm-prd-mgmt001-nic001","microsoft.network/networkinterfaces","nic","Nome não segue padrão v2.0: esperado 'nic-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","avd-data-ha-1-nic-nsg","microsoft.network/networksecuritygroups","nsg","Nome não segue padrão v2.0: esperado 'nsg-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","databricksnsg4bhcyhyu2rj2y","microsoft.network/networksecuritygroups","nsg","Nome não segue padrão v2.0: esperado 'nsg-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-cpanel-v4-nsg","microsoft.network/networksecuritygroups","nsg","Nome não segue padrão v2.0: esperado 'nsg-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-0dd08466b7-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoesp-b9d0e31f28-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050p-0be3f99616-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressod-f20d340a68-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envisionpr-7e69805656-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050prd-2a701e99ee-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","lideranc-prd-mysql.private.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-5687f10476-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-ae99cfd7c7-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","privatelink.database.windows.net","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","privatelink.file.core.windows.net","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.postgres.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","privatelink.postgres.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.redis.cache.windows.net","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","privatelink.redis.cache.windows.net","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","dnspr","Nome não segue padrão v2.0: esperado 'dnspr-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pe-adf-data-001","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pe-adf-data-002","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pe-data-sql-001","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pe-data-stg-001","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","pe-stg-avd-001","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-shared-prd-rg001","pe-stg-avd-001","microsoft.network/privateendpoints","pep","Nome não segue padrão v2.0: esperado 'pep-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planapp-cpanel-v4-ip","microsoft.network/publicipaddresses","pip","Nome não segue padrão v2.0: esperado 'pip-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","pla-ne-prd-sites-vnet001-prd-sites-snet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","pla-sc-prd-ptsust-vnet001-prd-ptsust-snet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-netsec-rg001","pla-we-prd-data-vnet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","pla-we-prd-foresigh-vnet001-prd-foresigh-snet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","pla-we-prd-lideranc-vnet001-prd-lideranc-snet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-netsec-rg001","pla-we-prd-shared-vnet001-rt001","microsoft.network/routetables","rt","Nome não segue padrão v2.0: esperado 'rt-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressodofuturo_vnet","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","pla-ne-prd-sites-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","pla-sc-prd-ptsust-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","pla-we-prd-foresigh-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
